,apperences,freq
crab,10.0,0.07279079924297568
tequila,10.0,0.07279079924297568
hen,10.0,0.07279079924297568
cognac,10.0,0.07279079924297568
pancetta,10.0,0.07279079924297568
gin,9.0,0.06551171931867812
strip,9.0,0.06551171931867812
sparerib,9.0,0.06551171931867812
shaving,9.0,0.06551171931867812
gnocchi,9.0,0.06551171931867812
tapioca,9.0,0.06551171931867812
blackberry,9.0,0.06551171931867812
cola,9.0,0.06551171931867812
beetroot,9.0,0.06551171931867812
cod,9.0,0.06551171931867812
lemonade,9.0,0.06551171931867812
tomatillo,9.0,0.06551171931867812
miso,9.0,0.06551171931867812
millet,8.0,0.05823263939438055
dessert,8.0,0.05823263939438055
gherkin,8.0,0.05823263939438055
grenadine,8.0,0.05823263939438055
ball,8.0,0.05823263939438055
bouquet,8.0,0.05823263939438055
radicchio,8.0,0.05823263939438055
sec,8.0,0.05823263939438055
ciabatta,8.0,0.05823263939438055
pheasant,8.0,0.05823263939438055
bratwurst,8.0,0.05823263939438055
edamame,8.0,0.05823263939438055
carcas,8.0,0.05823263939438055
gel,8.0,0.05823263939438055
chard,8.0,0.05823263939438055
curl,8.0,0.05823263939438055
toast,8.0,0.05823263939438055
anchovy,8.0,0.05823263939438055
dorito,8.0,0.05823263939438055
okra,8.0,0.05823263939438055
arrowroot,8.0,0.05823263939438055
venison,8.0,0.058232639394380545
gluten,8.0,0.058232639394380545
curd,7.0,0.05095355947008298
croissant,7.0,0.05095355947008298
wrap,7.0,0.05095355947008298
patty,7.0,0.05095355947008298
sprite,7.0,0.05095355947008298
tail,7.0,0.05095355947008298
amino,7.0,0.05095355947008298
crystal,7.0,0.05095355947008298
bulgur,7.0,0.05095355947008298
manicotti,7.0,0.05095355947008298
hummu,7.0,0.05095355947008298
mexicorn,7.0,0.05095355947008298
head,7.0,0.05095355947008298
segment,7.0,0.05095355947008298
goya,7.0,0.05095355947008298
gruyere,7.0,0.05095355947008298
savory,7.0,0.05095355947008298
fusilli,7.0,0.05095355947008298
bologna,7.0,0.05095355947008298
root,7.0,0.05095355947008298
nutella,7.0,0.05095355947008298
vermicelli,7.0,0.05095355947008298
calvado,7.0,0.05095355947008298
papaya,6.0,0.04367447954578541
chervil,6.0,0.04367447954578541
menthe,6.0,0.04367447954578541
bagel,6.0,0.04367447954578541
persimmon,6.0,0.04367447954578541
wax,6.0,0.04367447954578541
watercres,6.0,0.04367447954578541
ditalini,6.0,0.04367447954578541
cheddar,6.0,0.04367447954578541
product,6.0,0.04367447954578541
harissa,6.0,0.04367447954578541
vert,6.0,0.04367447954578541
poundcake,6.0,0.04367447954578541
ladyfinger,6.0,0.04367447954578541
grease,6.0,0.04367447954578541
rotel,6.0,0.04367447954578541
kirsch,6.0,0.04367447954578541
m&m',6.0,0.04367447954578541
lite,6.0,0.04367447954578541
port,6.0,0.04367447954578541
pomegranate,6.0,0.04367447954578541
semolina,6.0,0.04367447954578541
msg,5.0,0.03639539962148784
vinaigrette,5.0,0.03639539962148784
flower,5.0,0.03639539962148784
whisky,5.0,0.03639539962148784
curacao,5.0,0.03639539962148784
clementine,5.0,0.03639539962148784
part,5.0,0.03639539962148784
free,5.0,0.03639539962148784
cob,5.0,0.03639539962148784
niblet,5.0,0.03639539962148784
dal,5.0,0.03639539962148784
mozzarella,5.0,0.03639539962148784
melon,5.0,0.03639539962148784
fudge,5.0,0.03639539962148784
pulp,5.0,0.03639539962148784
palm,5.0,0.03639539962148784
merlot,5.0,0.03639539962148784
snapper,5.0,0.03639539962148784
section,5.0,0.03639539962148784
oleo,5.0,0.03639539962148784
escarole,5.0,0.03639539962148784
frangelico,5.0,0.03639539962148784
whiz,5.0,0.03639539962148784
beverage,5.0,0.03639539962148784
